crop_type,rank,model,mae,rmse,r2
sa,1,random_forest,1.1638713967152525,1.3527342962123248,-0.014100970547865632
sa,2,lstm,1.1443952142112932,1.3560377700735096,-0.019060032495781698
sa,3,hybrid_coordinated,1.182130625550176,1.3639156950446243,-0.03093492018018895
sa,4,linear_baseline,1.185899151163082,1.3665271494674538,-0.034886508900492164
sa,5,gradient_boosting,1.1829687843860035,1.366596664318616,-0.03499180034888738
sa,6,linear_regression,1.1869330185519857,1.3672293572049175,-0.03595036193512158
sa,7,naive_persistence,1.4529450913550148,1.8905921535794106,-0.9808514090729186
sb,1,lstm,1.0216468680552553,1.0818406614498504,-0.006145254357860175
sb,2,linear_regression,1.0131769813522247,1.0832140187062351,-0.008701405195391754
sb,3,linear_baseline,1.0133601290359344,1.0832161717285902,-0.008705415037945086
sb,4,random_forest,1.0159285370732698,1.0893467610830716,-0.02015549907825087
sb,5,gradient_boosting,1.0145776161485516,1.0898668040173214,-0.021129755048151067
sb,6,hybrid_coordinated,1.0210197648292096,1.0974790223239161,-0.03544381291188348
sb,7,naive_persistence,1.101910055763045,1.562647968128178,-1.0992124101307912
sc,1,lstm,1.2844376400922626,1.402466574396828,-0.005615973907794336
sc,2,random_forest,1.2979513356383419,1.4133350633877562,-0.021262515240959345
sc,3,gradient_boosting,1.2926650517423388,1.415500761357145,-0.02439473884039356
sc,4,hybrid_coordinated,1.2992706912863903,1.420875360057656,-0.03218867758237254
sc,5,linear_baseline,1.3051725115094865,1.42531359349971,-0.038647018924250265
sc,6,linear_regression,1.3063904476357657,1.4281829781337316,-0.04283315409932764
sc,7,naive_persistence,1.4993755524786905,2.011474817666114,-1.0685990669302048
ta,1,lstm,3.098438819409376,3.783820827750882,-0.005075422159405596
ta,2,random_forest,3.1713218804096552,3.805216174885056,-0.016473812718295955
ta,3,linear_baseline,3.2287918835338694,3.8258946338473088,-0.027551356020077522
ta,4,linear_regression,3.23117973435093,3.82649982116063,-0.027876461799275276
ta,5,hybrid_coordinated,3.2131385918354365,3.828562024899775,-0.028984660916576033
ta,6,gradient_boosting,3.222346115879849,3.8369184208088827,-0.033481381622076034
ta,7,naive_persistence,4.214201829323106,5.436151749326362,-1.0745345358512175
tb,1,lstm,0.6059141024737291,0.651575795740743,-0.009533656222240783
tb,2,random_forest,0.6008303582788234,0.6531285840597686,-0.01435108487853931
tb,3,linear_baseline,0.598220752278564,0.6543238835173023,-0.018067237546534942
tb,4,linear_regression,0.5975430678553745,0.6545090210976496,-0.018643432837023077
tb,5,gradient_boosting,0.5983432370652135,0.6550522073968879,-0.02033490763688861
tb,6,hybrid_coordinated,0.6032683259284712,0.6579730707311691,-0.029454496093579863
tb,7,naive_persistence,0.7002978603125098,0.9408326154954411,-1.1048233116582407
tc,1,lstm,4.740681274076342,5.594888459329577,-0.0015652686572997787
tc,2,linear_baseline,4.875492441342391,5.654531595885388,-0.023033041863598003
tc,3,linear_regression,4.877188665286396,5.655776589045377,-0.023483586469730255
tc,4,random_forest,4.869809505685234,5.662186632939284,-0.025804856542760435
tc,5,gradient_boosting,4.8797181472931825,5.670428959704241,-0.02879351561400889
tc,6,hybrid_coordinated,4.87825069389113,5.6789312767591476,-0.03188100211524558
tc,7,naive_persistence,6.14998630546708,7.989343633128299,-1.0422955586180667
